Title|Header in MD|Header in WDCML|Path in Kit|Area|Project|Type in MD|Type in WDCML|SubType in WDCML|Scraped|Scraped Status|Asset ID|Date Scraped|Xml Location|MD Location|Owner
tagKS_BDA_FRAME_INFO|bdatypes.h|['bdamedia.h', 'Bdamedia.h']|||stream|struct|struct|struct|N|Header Mismatch|44E0F229-9992-4A58-B7E0-6FF9FD937E58|N/A|stream\ks_bda_frame_info.htm|bdatypes\SkeletonMD\ns-bdatypes-tagks-bda-frame-info.md|REDMOND\bagold
CODING_FORMAT|bthddi.h|[]|||bltooth|enum|ovw|ovw|N|Header Mismatch|FC494D42-A0C9-45F0-BB4F-EC02AEE3F405|N/A|bltooth\coding_format.htm|bthddi\SkeletonMD\ne-bthddi--coding-format.md|REDMOND\prwilk
PCM_DATA_FORMAT|bthddi.h|[]|||bltooth|enum|ovw|ovw|N|Header Mismatch|611488B5-1581-4625-B0BC-BE5F1A11604A|N/A|bltooth\pcm_data_format.htm|bthddi\SkeletonMD\ne-bthddi--pcm-data-format.md|REDMOND\prwilk
POWERSOURCEID|charging.h|[]|||battery|enum|enum|ovw|N|Header Mismatch|0D41BF45-B534-4ED0-83BE-8D35D9C25AF3|N/A|battery\powersourceid.htm|charging\SkeletonMD\ne-charging--powersourceid.md|REDMOND\domars
IOCTL_CAD_DISABLE_CHARGING|charging.h|[]|||battery|ioctl|ovw|ovw|N|Header Mismatch|2B2143A0-1398-419A-85C7-051469C823D8|N/A|battery\ioctl_cad_disable_charging.htm|charging\SkeletonMD\ni-charging-ioctl-cad-disable-charging.md|REDMOND\domars
IOCTL_CAD_GET_BATTERY_PROVISIONING_STATUS|charging.h|[]|||battery|ioctl|ovw|ovw|N|Header Mismatch|0756204C-7986-4287-ADD4-4985774440E8|N/A|battery\ioctl_cad_get_battery_provisioning_status.htm|charging\SkeletonMD\ni-charging-ioctl-cad-get-battery-provisioning-status.md|REDMOND\domars
IOCTL_CAD_GET_CHARGING_STATUS_COMPLETE|charging.h|[]|||battery|ioctl|ovw|ovw|N|Header Mismatch|7787FD98-AB63-45B8-9E36-889DE6A9A1DF|N/A|battery\ioctl_cad_get_charging_status_complete.htm|charging\SkeletonMD\ni-charging-ioctl-cad-get-charging-status-complete.md|REDMOND\domars
IOCTL_CAD_POWER_SOURCE_UPDATE_EX|charging.h|[]|||battery|ioctl|ovw|ovw|N|Header Mismatch|BA51F5AB-F453-44FA-869C-122F50DEA45A|N/A|battery\ioctl_cad_power_source_update_ex.htm|charging\SkeletonMD\ni-charging-ioctl-cad-power-source-update-ex.md|REDMOND\domars
IOCTL_INTERNAL_CAD_POWER_SOURCE_UPDATE|charging.h|[]|||battery|ioctl|ovw|ovw|N|Header Mismatch|A874C3B1-6C98-444C-B37A-728D82A02CF9|N/A|battery\ioctl_internal_cad_power_source_update.htm|charging\SkeletonMD\ni-charging-ioctl-internal-cad-power-source-update.md|REDMOND\domars
BATTERYPROVISIONINGSTATUS|charging.h|[]|||battery|struct|struct|ovw|N|Header Mismatch|1AF32523-44EE-438B-803B-20D04C002886|N/A|battery\batteryprovisioningstatus.htm|charging\SkeletonMD\ns-charging--batteryprovisioningstatus.md|REDMOND\domars
